,video_id,video_title,upload_date,view_count,like_count,comment_count
79,8HslUzw35mc,Homeopathy Explained – Gentle Healing or Reckless Fraud?,2018-02-22,9465563,319020,27090
80,UjtOGPJ0URM,Why Alien Life Would be our Doom - The Great Filter,2018-02-01,23176095,572684,46455
81,MUWUHf-rzks,How to Make an Elephant Explode – The Size of Life 2,2017-12-21,7861329,246811,11413
82,kl39KHS07Xc,Universal Basic Income Explained – Free Money for Everybody? UBI,2017-12-07,9463405,348097,47656
83,16W7c0mb-rE,Emergence – How Stupid Things Become Smart Together,2017-11-16,7942787,270770,13920
84,MjdpR-TY6QU,How to Cure Aging – During Your Lifetime?,2017-11-03,7044448,245877,13853
85,GoJsr4IwCm4,Why Age? Should We End Aging Forever?,2017-10-20,8082131,259835,29757
86,4ClLMrfYmmw,"The Year 12,018 Calendar IS OUT NOW – A new calendar for humanity",2017-10-10,1618683,55800,3256
87,VzPD009qTN4,How Bacteria Rule Over Your Body – The Microbiome,2017-10-05,8312436,238564,11307
88,tlTKTTt47WE,Is Reality Real? The Simulation Argument,2017-09-21,17835430,464290,49628
89,J0ldO87Pprc,What Happens If We Bring the Sun to Earth?,2017-09-07,10115033,248214,10935
90,yWO-cvGETRQ,Why Black Holes Could Delete The Universe – The Information Paradox,2017-08-24,24990134,488076,32124
91,f7KSfjv4Oq0,What Happens If We Throw an Elephant From a Skyscraper? Life &amp; Size 1,2017-08-10,16237014,419312,18763
92,MBRqu0YOH14,Optimistic Nihilism,2017-07-26,14205797,809333,52647
93,WSKi8HfcxEk,The Rise of the Machines – Why Automation is Different this Time,2017-06-08,12671941,382159,30091
94,qsN1LglrX9s,The Last Light Before Eternal Darkness – White Dwarfs &amp; Black Dwarfs,2017-05-04,13166691,321323,18824
95,XxutY7ss1v4,Is the European Union Worth It Or Should We End It?,2017-04-13,7291498,278208,44793
96,7TmcXYp8xu4,Are GMOs Good or Bad? Genetic Engineering &amp; Our Food,2017-03-30,11097118,398391,35644
97,DHyUYg8X31c,Do Robots Deserve Rights? What if Machines Become Conscious?,2017-02-23,7200037,218146,31568
98,RVMZxH1TIIQ,Why Earth Is A Prison and How To Escape It,2017-02-01,10802811,294511,19109
99,QsBT5EQt348,Overpopulation – The Human Explosion Explained,2016-12-22,12517143,378479,29419
100,czgOWmtGVGs,A New History for Humanity – The Human Era,2016-12-07,9300880,349472,25829
101,qNWWrDBRBqk,The Most Gruesome Parasites – Neglected Tropical Diseases – NTDs,2016-11-30,11318359,336810,12760
102,mZsaaturR6E,Fusion Power Explained – Future or Failure,2016-11-10,11707536,323301,15419
103,ijFm6DxNVyI,The Most Efficient Way to Destroy the Universe – False Vacuum,2016-10-21,14080848,392189,17752
104,TnzcwTyr6cE,Genetic Engineering and Diseases – Gene Drive &amp; Malaria,2016-09-21,8204439,216184,19877
105,jAhjPd4uNFY,Genetic Engineering Will Change Everything Forever – CRISPR,2016-08-10,25877389,587533,72087
106,RLykC1VN7NY,Death From Space — Gamma-Ray Bursts Explained,2016-07-31,12496784,285644,17788
107,dGiQaabX3_o,What Happened Before History? Human Origins,2016-06-23,19056632,506784,47980
108,JQVmkDUkZT4,What Are You?,2016-05-31,13673434,340063,20428
109,ZL4yYHdDSWs,How Far Can We Go? Limits of Humanity (Old Version – Watch the New One),2016-05-12,17643024,416159,31645
110,V9_PjdU3Mpo,Safe and Sorry – Terrorism &amp; Mass Surveillance,2016-04-14,4408418,180823,13053
111,qPQQwqGWktE,Space Elevator – Science Fiction or the Future of Mankind?,2016-04-08,6974912,158927,8295
112,xZbcwi7SfZE,The Antibiotic Apocalypse Explained,2016-03-16,7676267,188091,14354
113,wJUXLqNHCaI,Why The War on Drugs Is a Huge Failure,2016-03-01,9857725,401485,25991
114,LS-VPyLaJFM,The Last Star in the Universe – Red Dwarfs Explained,2016-01-31,11925814,217466,13455
115,X9otDixAtFw,What Is Something?,2015-12-23,7521858,210810,11642
116,e-P5IFTqB98,Black Holes Explained – From Birth to Death,2015-12-15,19369368,336122,16222
117,JhHMJCUmq28,Quantum Computers Explained – Limits of Human Technology,2015-12-08,16454435,398325,18890
118,t7tA3NNKF0Q,How Facebook is Stealing Billions of Views,2015-11-10,9126601,405989,20897
119,IXxZRZxafEQ,What Is Light?,2015-10-15,8194735,176619,7789
120,QAa2O_8wBUQ,What is Dark Matter and Dark Energy?,2015-08-06,10373047,231995,11394
121,8nHBGFKLHZQ,What if there was a black hole in your pocket?,2015-07-16,13480992,274157,14753
122,GqA42M4RtxE,"The Death Of Bees Explained – Parasites, Poison and Humans",2015-07-09,12834119,196348,14490
123,1fQkVqno-uI,The Fermi Paradox II — Solutions and Ideas – Where Are All The Aliens?,2015-06-04,14988649,357839,19578
124,sNhhvQGsMEc,The Fermi Paradox — Where Are All The Aliens? (1/2),2015-05-06,28615318,651072,41745
125,pVbLlnmxIbY,3 Reasons Why Nuclear Energy Is Awesome! 3/3,2015-04-01,4311776,91816,6927
126,HEYbgyL5n1g,3 Reasons Why Nuclear Energy Is Terrible! 2/3,2015-04-01,4302274,67614,5834
127,rcOFV4y5z8c,Nuclear Energy Explained: How does it work? 1/3,2015-03-26,6548020,102004,4310
128,fTTGALaRZoc,Banking Explained – Money and Credit,2015-03-12,8440118,162428,8153
129,y0opgc1WoS4,Measles Explained — Vaccinate or Not?,2015-02-24,8747165,127173,17647
130,_lNF3_30lUE,How Small Is An Atom? Spoiler: Very Small.,2015-01-20,6930508,140383,6388
131,Hug0rfFC_L8,The Ultimate Conspiracy Debunker,2014-12-18,7765554,199024,17781
132,QOCaacO8wus,What Is Life? Is Death Real?,2014-12-11,12888917,277884,21570
133,sRv19gkZ4E0,The Ebola Virus Explained — How Your Body Fights For Survival,2014-11-06,12325686,210274,15427
134,NbuUW9i-mHs,Is War Over? — A Paradox Explained,2014-10-09,11811283,293231,26180
135,ZW3aV7U-aik,Atoms As Big As Mountains — Neutron Stars Explained,2014-09-03,7845727,166015,8548
136,JGXi_9A__Vc,Everything You Need to Know About Planet Earth,2014-08-04,11667990,211230,12799
137,zQGOcOUBi6s,The Immune System Explained I – Bacteria Infection,2014-07-01,38790862,470802,32197
138,AQPlREDW-Ro,"Iraq Explained -- ISIS, Syria and War",2014-06-19,7833437,133699,19006
139,PKMQzkIiB0Y,Are You Alone? (In The Universe),2014-06-02,5296674,115636,7397
140,cR9uphgMZ8U,How to catch a Dwarf Planet -- Triton MM#3,2014-05-26,3975065,47270,2039
141,Pw0IZg7_4mo,The Moons of Mars Explained -- Phobos &amp; Deimos MM#2,2014-05-12,4293868,64601,2542
142,Tqt9hZcWhJM,How Big is the Moon? MM#1,2014-05-05,2330213,35777,1331
143,xRF7WIZV4lA,Help us make more Videos for Kurzgesagt,2014-04-23,465104,12338,523
144,21eFwbb48sE,Who Invented the Internet? And Why?,2014-04-10,2843633,65111,5905
145,wNDGgL73ihY,The Beginning of Everything -- The Big Bang,2014-03-03,12615350,224215,41128
146,4_aOIA-vyBo,Three Ways to Destroy the Universe,2014-02-03,22965080,554525,46541
147,2XkV6IpV2Y0,The History and Future of Everything -- Time,2013-12-19,7295137,181775,13856
148,F3QpgXBtDeo,How The Stock Exchange Works (For Dummies),2013-11-28,7998735,125378,8164
149,UuGrBhK2c7U,The Gulf Stream Explained,2013-10-11,4125321,57676,1927
150,Uti2niW2BRA,Fracking explained: opportunity or danger,2013-09-03,6964256,96289,8108
151,KsF_hdjWJjo,The Solar System -- our home in space,2013-08-22,5676013,78306,6050
152,hOfRN0KihOU,How Evolution works,2013-07-11,9628199,218833,65989
